Grösste Pfeife Waldkirchs,48.091214,7.953323,Arena
Gutleutkreis 1,47.988518,7.820795,Arena
Sonnenuhr Staudinger,47.991222,7.825398,Arena
Beat Man Haslach,47.991146,7.826742,Arena
Melanchthonkirche,47.992087,7.817412,Arena
Schlossberg Cross,47.994854,7.858673,Arena
Johanneskirche,47.988868,7.847594,Arena
Schwabentor,47.992876,7.854334,Arena
Drache,47.971306,7.842989,Arena
Pagode,48.013051,7.813096,Arena
Gaskugel,48.007483,7.806024,Arena
Katholische Kirche Vörstetten,48.062713,7.84329,Arena
Goldener Anker,47.988644,7.851441,Arena
Haltestelle Pressehaus,47.986193,7.829222,Arena
Noch ein Brunnen,47.990711,7.852076,Arena
Fritz Ginter Parkstein,48.019499,7.865244,Arena
St. Blasius-Kirche,48.023575,7.865206,Arena
Hear No Evil See No Evil  ,48.007509,7.872001,Arena
Professor Dr. Schreiber,47.990441,7.848094,Arena
Historisches Kaufhaus,47.995301,7.852241,Arena
Goldener Hirsch,48.095017,7.961734,Arena
Chorregentenbrunnen,48.091311,7.964533,Arena
Helene,47.993176,7.880796,Arena
Albertus Magnus An Der Wand   ,47.997566,7.848679,Arena
Affenbrunnen,47.99671,7.850113,Arena
Kunst an der Schule,47.98467,7.90413,Arena
St. Margarethen-Brunnen,48.09151,7.963456,Arena
St Hilarius,47.988483,7.90531,Arena
Mehrfarbige Laser Säule,47.977935,7.829641,Arena
Partnerschaft Saeule Polen/Bierun,48.039907,7.865028,Arena
Adler Statue,48.066433,7.852506,Arena
Wasserkreislauf 2,47.981499,7.906959,Arena
Hildaturm,47.979514,7.838044,Arena
Skulptur am HBF,47.996109,7.841564,Arena
Spielplatz am Dichterweg,48.0733,7.892443,Arena
Heart of the City,47.995111,7.84536,Arena
Metallskulpturen H. Mut. 7,48.103172,7.973762,Arena
Jüdischer Friedhof,48.01244,7.828646,Arena
Alt Haslach 1910,47.993601,7.819792,Arena
Wasserrad Wenzinger Schulen,48.013458,7.824549,Arena
Flight 13,48.009806,7.854075,Arena
